album,album_id
Ooh Yeah!,0
Greatest Hits,1
Western Standard Time,2
Hangin' Tough,3
Dream Of Life,4
Hanging Fire,5
Small Block,6
The Trinity Session,7
Mincing Steps,8
Tears Of Joy,9
Loving Proof,10
Rigor Mortis (Expanded Edition) [Remastered],11
Diamonds & Dirt,12
All My Best,13
Best Of Kodo,14
Today,15
Garfunkel,16
Hairway To Steven,17
A Little Bit Of Broadway,18
From Time to Time Free,19
Ned Rorem: Orchestral Works,20
"Beethoven: Piano Sonatas Nos. 9, 10, 24, 27 and 28",21
"Beethoven: Piano Sonatas Nos. 5-7, Op. 10 and No. 25, Op. 79",22
Beethoven: Symphony No. 9,23
Gorilla Biscuits,24
Starfish,25
Swinging Macedonia,26
How Will I Laugh Tomorrow When I Can't Even Smile Today,27
Tibetan Bells: The Empty Mirror,28
Back To Avalon,29
No Exit - 25th Anniversary Edition,30
Super Hits,31
DUO,32
Here We Are,33
Disturbing The Peace,34
Free Cocaine,35
Live - Lange Schatten Tour '88,36
"Shostakovich, D.: Symphony No. 11, ""The Year 1905""",37
Beast On My Back,38
Irving Berlin: A Hundred Years,39
Visions,40
No Borders,41
Wormed by Leonard,42
"All Time Greatest Hits, Vol. 1",43
Barrelhouse And Blues,44
That Woman Is Poison!,45
Record of Changes,46
At The End Of The Evening,47
"Reicha: Wind Quintets, Vol. 5",48
"Reicha: Complete Wind Quintets, Vol. 6",49
Sirius,50
Dreaming #11,51
Rachmaninov: Piano Concerto No. 2 / Rhapsody On A Theme of Paganini,52
Even Worse,53
Ives: Holidays Symphony,54
Opp-Pop-A-DA,55
Caifanes,56
Romantico y Sabroso,57
20,58
Tibetan Sacred Temple Music,59
From London With Love: The Music of James Bond,60
Never Die Young,61
Albert,62
Stardust,63
Ese día piensa en mí,64
"Bach, J.S.: Goldberg Variations (Arr. J. Guillou)",65
Creator,66
Love Songs and the Blues,67
Nippers 50's-Vol.1,68
"Vocal Recital: Baird, Julianne - Johnson, R. / Morley, T. / Lanier, N. / Wilson, J. / Campion, T. (The English Lute Song)",69
Nippers 50's-Vol.2,70
Beethoven: Piano Concertos Nos. 2 And 5,71
Twilight,72
Mr. Boogie's Back In Town,73
Ne m'en veux pas,74
Jazz Brunch,75
Me Gusta Como Andas,76
"Tchaikovsky: Swan Lake, Op. 20a & The Sleeping Beauty, Op. 66 (Excerpts)",77
Carmen Sings Monk,78
De Amor y Salsa,79
Years Since Yesterday,80
"Chet Atkins, C.G.P.",81
French Festival,82
Best Of The Youngbloods,83
Kill For Pleasure,84
The Monuments Of Mars,85
The Best,86
Prime Cuts,87
Australian Percussion,88
Downtown Dreamers,89
Tegoto: Japanese Koto Music,90
German Romantic Overtures,91
Baroque Favourites,92
The Heifetz Collection; Volume 17; Bach: Sonatas & Partitas,93
Sacred Space Music,94
Pachelbel Kanon/Adagios,95
"Piano Recital: Rosenberger, Carol - Chopin, F. / Faure, G. / Debussy, C. / Granados, E. / Griffes, C. / Liszt, F.",96
"Hovhaness: Shalimar, Piano Solos",97
Lucky Man,98
Tchaikovsky: 1812 Overture / Marche slave,99
Sousa Spectacular,100
Hungarian Festival,101
In The Marshes,102
"Romantic Piano Favourites, Vol. 2",103
"Romantic Piano Favourites, Vol. 3",104
Brahms: Complete Symphonies,105
"Romantic Piano Favourites, Vol. 1",106
"Mozart: Symphonies Nos. 25, 32 and 41",107
The Mozart Album,108
Jewel Lake,109
The Film Music Of John Barry,110
Berlioz: Symphonie Fantastique,111
Hear No Evil,112
Tougher Than Leather (Expanded Edition),113
Their Greatest Yiddish Hits,114
Morning Has Broken,115
"Vivaldi: Violin Concertos Op. 8, Nos. 5-8 and 10-12",116
Lovely,117
La cigale,118
"Romantic Piano Favourites, Vol. 4",119
Bizet: Carmen Suites Nos. 1 and 2 / L'Arlesienne Suites Nos. 1 and 2,120
"Beethoven: Piano Sonatas Nos. 8, 14 and 23",121
